original_title,genres,actor1,actor2,director,popularity,release_date,vote_average,vote_count,production_companies,budget_adj,revenue_adj,release_year,runtime,id,imdb_id
The Great Buck Howard,Comedy,John Malkovich,Colin Hanks,Sean McGinly,0.464581,1/18/08,5.9,40,Bristol Bay Productions,36465392.87917733,912205.780418945,2008,87,16279,tt0460810
The Black Balloon,Drama,Toni Collette,Rhys Wakefield,Elissa Down,0.14485399999999898,3/8/08,6.8,12,Black Balloon Productions,36465392.87917733,113802822.54054782,2008,97,8747,tt0865297
Miss Austen Regrets,Drama,Olivia Williams,Imogen Poots,Jeremy Lovering,0.142175,2/3/08,5.1,10,British Broadcasting Corporation (BBC),36465392.87917733,113802822.54054782,2008,90,18089,tt1076240
Comme les autres,Comedy,Lambert Wilson,Pilar LÃ³pez de Ayala,Vincent Garenq,0.14241099999999898,12/18/08,5.0,10,,36465392.87917733,113802822.54054782,2008,90,15435,tt1093352
Parlami D'Amore,Comedy,Silvio Muccino,Aitana SÃ¡nchez-GijÃ³n,Silvio Muccino,0.11308199999999999,2/14/08,5.1,11,,36465392.87917733,9.115079704282499,2008,109,53955,tt1038142
Visioneers,Comedy,Zach Galifianakis,Judy Greer,Jared Drake,0.137976,6/12/08,5.7,13,Fireside Film,36465392.87917733,113802822.54054782,2008,90,20382,tt0833557
Jolene,Drama,Jessica Chastain,Dermot Mulroney,Dan Ireland,0.135015,6/13/08,6.3,14,Next Turn Productions,36465392.87917733,113802822.54054782,2008,121,43727,tt0867334
Race,Drama,Saif Ali Khan,Akshaye Khanna,Abbas Alibhai Burmawalla|Mastan Alibhai Burmawalla,0.134860999999999,3/20/08,5.7,18,,36465392.87917733,113802822.54054782,2008,161,19658,tt1017456
Shine a Light,Documentary,Mick Jagger,Keith Richards,Martin Scorsese,0.134056999999999,2/7/08,6.9,21,Concert Promotion International,36465392.87917733,113802822.54054782,2008,122,7944,tt0893382
Deux jours Ã  tuer,Thriller,Albert Dupontel,Marie-JosÃ©e Croze,Jean Becker,0.09436,4/30/08,6.8,25,StudioCanal,36465392.87917733,113802822.54054782,2008,85,9736,tt0996930
Doctor Who: The Next Doctor,Adventure,David Tennant,David Morrissey,Andy Goddard,0.132306,12/25/08,6.8,25,BBC Cymru Wales,36465392.87917733,113802822.54054782,2008,60,317190,tt1321969
Sleep Dealer,Drama,Leonor Varela,Jacob Vargas,Alex Rivera,0.086287,12/10/08,5.8,18,Likely Story,2531966.58452291,108934.31754588,2008,90,20764,tt0804529
One-Eyed Monster,Comedy,Jason Graham,Charles Napier,Adam Fields,0.130306,11/11/08,5.1,11,,36465392.87917733,113802822.54054782,2008,84,24133,tt0988043
Food Matters,Documentary,Ian Brighthope,Jerome Burne,James Colquhoun,0.1298,1/1/08,7.0,16,Sunfilm Entertainment,36465392.87917733,113802822.54054782,2008,80,26018,tt1528734
Alone in the Dark 2,Action,Rick Yune,Lance Henriksen,Michael Roesch|Peter Scheerer,0.128781,9/1/08,3.2,13,HJB Filmproduktion,4658818.51552217,113802822.54054782,2008,88,12683,tt0913951
The Yellow Handkerchief,Drama,William Hurt,Maria Bello,Udayan Prasad,0.127309999999999,12/17/08,6.6,30,area japan,15191799.5071375,321053.362917506,2008,102,22556,tt0954990
Witless Protection,Action,Larry the Cable Guy,Ivana MiliÄeviÄ‡,Charles Robert Carner,0.13356400000000002,2/22/08,4.4,12,Parallel Films,36465392.87917733,113802822.54054782,2008,97,15365,tt1001562
MamÃ¡,Horror,Victoria Harris,Irma Monroig,Andy Muschietti,0.152615,10/7/08,6.0,11,Toma 78,36465392.87917733,113802822.54054782,2008,3,140656,tt1315885
Mulligans,Drama,Patrick Baynham,Ann Chaland,Chip Hale,0.120405,1/1/08,5.6,18,,36465392.87917733,113802822.54054782,2008,92,20033,tt1106447
Le Silence de Lorna,Crime,Arta Dobroshi,JÃ©rÃ©mie Renier,Jean-Pierre Dardenne|Luc Dardenne,0.117631,8/27/08,6.3,22,Archipel 35,36465392.87917733,113802822.54054782,2008,105,8899,tt1186369
Parasomnia,Horror,Sean Young,Patrick Kilpatrick,William Malone,0.117211,10/17/08,4.6,11,Luminous Processes,36465392.87917733,113802822.54054782,2008,103,19222,tt0922547
Sita Sings the Blues,Animation,Reena Shah,Debargo Sanyal,Nina Paley,0.11599000000000001,2/11/08,6.3,13,,36465392.87917733,113802822.54054782,2008,82,20529,tt1172203
Go Fast,Action,Roschdy Zem,Olivier Gourmet,Olivier Van Hoofstadt,0.113456,10/1/08,5.4,25,Sofica Europacorp,36465392.87917733,113802822.54054782,2008,90,15942,tt1179855
Bigger Stronger Faster*,Documentary,Chris Bell,Mark Bellinghaus,Chris Bell,0.111351,5/30/08,6.8,21,BSF Film,36465392.87917733,311746.866539433,2008,105,13636,tt1151309
Life After People,Documentary,John Anderson,David Brin,David de Vries,0.051507000000000004,1/21/08,6.9,11,Flight 33 Productions,36465392.87917733,113802822.54054782,2008,94,23190,tt1173907
Until the Light Takes Us,Documentary,Varg Vikernes,Hellhammer,Aaron Aites,0.1087,1/1/08,6.5,13,,36465392.87917733,113802822.54054782,2008,93,36124,tt1014809
Feast II: Sloppy Seconds,Action,Jenny Wade,Clu Gulager,John Gulager,0.10724500000000001,10/7/08,5.1,22,Neo Art & Logic,2025573.26761833,113802822.54054782,2008,97,13797,tt1104835
La Misma Luna,Drama,Kate del Castillo,AdriÃ¡n Alonso Barona,Patricia Riggen,0.10473900000000001,3/20/08,7.3,16,20th Century Fox,36465392.87917733,23609465.2202993,2008,106,32579,tt0796307
The Clique,Comedy,Elizabeth McLaughlin,Ellen Marlow,Michael Lembeck,0.10378,11/11/08,5.7,19,Alloy Entertainment,36465392.87917733,113802822.54054782,2008,87,34482,tt1059905
Dear Zachary: A Letter to a Son About His Father,Crime,Kurt Kuenne,Andrew Bagby,Kurt Kuenne,0.102845,10/31/08,8.3,74,MSNBC Films,36465392.87917733,113802822.54054782,2008,95,15584,tt1152758
Fire and Ice: The Dragon Chronicles,Drama,Amy Acker,Tom Wisdom,Pitof,0.101733,9/18/08,4.6,15,Media Pro Pictures,3038359.9014275,113802822.54054782,2008,84,16999,tt1135493
Vilaine,Comedy,Marilou Berry,FrÃ©dÃ©rique Bel,Allan Mauduit,0.012003,11/12/08,5.5,44,KarÃ© Productions,36465392.87917733,113802822.54054782,2008,93,17630,tt1132608
Deal,Comedy,Burt Reynolds,Bret Harrison,Gil Cates Jr.,0.093988,1/29/08,5.0,10,Andertainment Group,36465392.87917733,113802822.54054782,2008,85,11115,tt0446676
Miss Conception,Comedy,Heather Graham,Mia Kirshner,Eric Styles,0.092419,2/8/08,4.6,12,CoproducciÃ³n Irlanda-Alemania,36465392.87917733,113802822.54054782,2008,104,14847,tt0985593
Good,Drama,Viggo Mortensen,Jason Isaacs,Vicente Amorim,0.092364,12/11/08,6.4,17,,36465392.87917733,113802822.54054782,2008,96,12410,tt0436364
Harold,Comedy,Cuba Gooding Jr.,Spencer Breslin,T. Sean Shannon,0.090252,7/13/08,4.6,10,,36465392.87917733,113802822.54054782,2008,90,13578,tt1041753
Mum & Dad,Horror,Perry Benson,Dido Miles,Steven Sheil,0.08972000000000001,8/22/08,6.3,23,EM Media,172173.727747558,113802822.54054782,2008,84,19197,tt1129428
Incendiary,Drama,Ewan McGregor,Michelle Williams,Sharon Maguire,0.089104,1/20/08,5.3,27,Capitol Films,10127866.3380916,113802822.54054782,2008,113,15705,tt0984200
"Merry Christmas, Drake and Josh",Comedy,Drake Bell,Josh Peck,Michael Grossman,0.088814,12/5/08,5.8,13,Nickelodeon Network,36465392.87917733,113802822.54054782,2008,94,33871,tt1249300
Louis C.K.: Chewed Up,Comedy,Louis C.K.,,Louis C.K.|Shannon Hartman,0.087966,10/1/08,7.8,31,Image Entertainment,36465392.87917733,113802822.54054782,2008,60,30969,tt1190722
Dead Set,Comedy,Jaime Winstone,Andy Nyman,Yann Demange,0.086851,10/27/08,5.8,35,,36465392.87917733,113802822.54054782,2008,141,176297,tt1285482
The Burrowers,Action,Doug Hutchison,Clancy Brown,J.T. Petty,0.085583,9/9/08,5.5,21,Blue Star Pictures,7089506.43666417,113802822.54054782,2008,96,15846,tt0445939
Good Dick,Comedy,Marianna Palka,Jason Ritter,Marianna Palka,0.083339,10/3/08,5.6,18,Good Dick,36465392.87917733,113802822.54054782,2008,86,14758,tt0944101
Were The World Mine,Music,Tanner Cohen,Judy McLane,Tom Gustafson,0.07254,6/24/08,5.4,11,Speak Productions,36465392.87917733,121091.808298125,2008,95,19375,tt0476991
"Grande, grosso e Verdone",Family,Carlo Verdone,Claudia Gerini,Carlo Verdone,0.082898,3/7/08,5.3,35,Filmauro,36465392.87917733,113802822.54054782,2008,0,20414,tt1077026
Not Quite Hollywood,Comedy,Phillip Adams,Glory Annen,Mark Hartley,0.329196,8/28/08,6.4,10,Magnolia Pictures,36465392.87917733,113802822.54054782,2008,103,16194,tt0996966
The Family That Preys,Drama,Kathy Bates,Alfre Woodard,Tyler Perry,0.079309,9/12/08,6.4,11,Lions Gate Films,36465392.87917733,113802822.54054782,2008,111,15450,tt1142798
Anvil! The Story of Anvil,Documentary,Steve 'Lips' Kudlow,Robb Reiner,Sacha Gervasi,0.161552,1/14/08,7.4,42,Zootrope Films,36465392.87917733,113802822.54054782,2008,90,18094,tt1157605
Coco Chanel,Drama,Shirley MacLaine,Malcolm McDowell,Christian Duguay,0.0769799999999999,9/13/08,6.1,21,France 2 CinÃ©ma,36465392.87917733,113802822.54054782,2008,139,24475,tt1094661
Princess,Fantasy,Nora Zehetner,Kip Pardue,Mark Rosman,0.076837,4/20/08,5.0,10,Princessa Productions,36465392.87917733,113802822.54054782,2008,89,41362,tt1052352
Baby Blues,Drama,Colleen Porch,Aiden Kersh,Lars Jacobson|Amardeep Kaleka,0.21029299999999998,8/5/08,4.9,10,Symposium Productions,36465392.87917733,113802822.54054782,2008,85,14795,tt0972359
Fab Five: The Texas Cheerleader Scandal,Drama,Jenna Dewan,Ashley Benson,Tom McLoughlin,0.012059,8/2/08,5.2,11,Fox,36465392.87917733,113802822.54054782,2008,88,37432,tt1191113
iCarly: iGo to Japan,Comedy,Miranda Cosgrove,Jennette McCurdy,Steve Hoefer,0.077034,11/8/08,5.7,18,Nickelodeon Network,36465392.87917733,113802822.54054782,2008,99,62459,tt1286124
Strictly Sexual,Drama,Amber Benson,Johann Urb,Joel Viertel,0.068383,1/1/08,6.3,17,,36465392.87917733,113802822.54054782,2008,100,13808,tt0494277
Zeitgeist: Addendum,Documentary,nan,,Peter Joseph,0.067761,10/2/08,7.0,44,Gentle Machine Productions LLC,36465392.87917733,113802822.54054782,2008,123,13180,tt1332128
Expelled: No Intelligence Allowed,Documentary,Ben Stein,Richard Dawkins,Nathan Frankowski,0.021371,4/18/08,4.5,12,Premise Media Corporation,3544753.21833208,7798457.08033059,2008,90,13359,tt1091617
Chiko,Drama,Denis Moschitto,Volkan Ã–zcan,Ã–zgÃ¼r Yildirim,0.064319,2/9/08,6.3,16,CorazÃ³n International,36465392.87917733,113802822.54054782,2008,92,8064,tt1132474
Somers Town,Comedy,Thomas Turgoose,Piotr Jagiello,Shane Meadows,0.038133,8/22/08,6.8,11,Big Arty Productions,36465392.87917733,113802822.54054782,2008,71,14298,tt1172206
Flirting with Forty,Comedy,Heather Locklear,Robert Buckley,Mikael Salomon,0.06066900000000001,12/6/08,3.7,13,PeaceOut Productions,36465392.87917733,113802822.54054782,2008,87,20113,tt1182887
Lake Mungo,Horror,Talia Zucker,Rosie Traynor,Joel Anderson,0.054939,6/17/08,5.9,24,Mungo Productions,36465392.87917733,113802822.54054782,2008,84,27374,tt0816556
George Carlin: It's Bad for Ya!,Comedy,George Carlin,,Rocco Urbisci,0.049250999999999996,3/1/08,7.0,14,Cable Stuff Productions,36465392.87917733,113802822.54054782,2008,70,13643,tt0963207
Home Movie,Drama,Adrian Pasdar,Cady McClain,Christopher Denham,0.045194,7/10/08,4.7,13,ModerncinÃ©,36465392.87917733,113802822.54054782,2008,77,27258,tt1267319
Passchendaele,Drama,Paul Gross,Caroline Dhavernas,Paul Gross,0.044583,10/17/08,5.5,11,Rhombus Media,36465392.87917733,113802822.54054782,2008,114,14582,tt1092082
Maradona by Kusturica,Documentary,Diego Maradona,Manu Chao,Emir Kusturica,0.043578,5/20/08,5.8,14,,36465392.87917733,113802822.54054782,2008,90,8908,tt0454976
The Horribly Slow Murderer with the Extremely Inefficient Weapon,Comedy,Paul Clemens,Michael James Kacey,Richard Gale,0.042151999999999995,1/1/08,6.6,14,Chaotic Rampage American Pictures,36465392.87917733,113802822.54054782,2008,10,27618,tt1301160
One Week,Adventure,Joshua Jackson,Liane Balaban,Michael McGowan,0.033634,9/8/08,7.1,19,Mulmur Feed Company,36465392.87917733,113802822.54054782,2008,94,18635,tt1104806
Meu Nome NÃ£o Ã‰ Johnny,Crime,Selton Mello,ClÃ©o Pires,Mauro Lima,0.033615,1/4/08,7.3,23,Atitude ProduÃ§Ãµes e Empreendimentos,36465392.87917733,113802822.54054782,2008,124,17358,tt1092016
"Coluche, L'histoire d'un Mec",Comedy,FranÃ§ois-Xavier Demaison,LÃ©a Drucker,Antoine de Caunes,0.030837,10/15/08,6.0,10,Mars Distribution,36465392.87917733,113802822.54054782,2008,103,14419,tt1174034
The Wrecking Crew,Documentary,Lou Adler,Herb Alpert,Denny Tedesco,0.030719,3/11/08,6.8,14,Lunch Box Entertainment,36465392.87917733,113802822.54054782,2008,101,70027,tt1185418
Tokyo Mater,Animation,Larry the Cable Guy,Keith Ferguson,John Lasseter|Victor Navone|Rob Gibbs,0.142713,12/12/08,6.2,11,Pixar Animation Studios,36465392.87917733,113802822.54054782,2008,6,24328,tt1330219
John Adams,History,Paul Giamatti,Laura Linney,Tom Hooper,0.13654000000000002,3/16/08,6.6,33,,36465392.87917733,113802822.54054782,2008,501,118309,tt0472027
Phoebe in Wonderland,Drama,Felicity Huffman,Elle Fanning,Daniel Barnz,0.028143,2/7/08,6.9,19,Silverwood Films,36465392.87917733,113802822.54054782,2008,96,19079,tt1034325
The Cheetah Girls: One World,Comedy,Sabrina Bryan,Adrienne Bailon,Paul Hoen,0.020272,8/22/08,4.7,36,Walt Disney Pictures,36465392.87917733,113802822.54054782,2008,90,27621,tt1013542
Disgrace,Drama,John Malkovich,Eriq Ebouaney,Steve Jacobs,0.0175199999999999,9/6/08,6.3,12,,36465392.87917733,113802822.54054782,2008,120,12411,tt0445953
Era Uma Vez...,Drama,Cyria Coentro,Thiago Martins,Breno Silveira,0.089871,7/25/08,7.0,10,,36465392.87917733,113802822.54054782,2008,117,39393,tt1174691
The Little Mermaid: Ariel's Beginning,Family,Jodi Benson,Samuel E. Wright,Peggy Holmes,0.030366000000000004,8/26/08,6.7,100,DisneyToon Studios,36465392.87917733,113802822.54054782,2008,77,13676,tt0969647
Dante 01,Science Fiction,Lambert Wilson,Linh Äan Pháº¡m,Marc Caro,0.007487000000000001,1/2/08,4.5,18,Eskwad,8102293.07047334,113802822.54054782,2008,82,15125,tt0487928
Si puÃ² fare,Comedy,Claudio Bisio,Anita Caprioli,Giulio Manfredonia,0.007325,10/31/08,7.1,26,,36465392.87917733,113802822.54054782,2008,111,23619,tt1320297
More Than a Game,Documentary,LeBron James,Romeo Travis,Kristopher Belman,0.005391,9/6/08,6.4,10,Harvey Mason Media,36465392.87917733,898371.115001112,2008,105,33295,tt1286821
Hannah Montana & Miley Cyrus: Best of Both Worlds Concert,Documentary,Miley Cyrus,Nick Jonas,Bruce Hendricks,0.0032380000000000004,2/1/08,5.9,15,Walt Disney Pictures,36465392.87917733,113802822.54054782,2008,82,253353,tt1127884
How to Be,Comedy,Robert Pattinson,Powell Jones,Oliver Irving,0.002514,1/17/08,4.5,11,How To Be Films,506393.31690458296,113802822.54054782,2008,85,19713,tt1057581
Fuera de carta,Comedy,Javier CÃ¡mara,Lola DueÃ±as,Nacho G. Velilla,0.001317,4/11/08,5.3,13,TLA Releasing,36465392.87917733,113802822.54054782,2008,111,15953,tt1020955
Underworld: Endless War,Action,Trevor Devall,Brian Dobson,Juno John Lee,8.411577000000001,10/19/11,5.9,21,,36465392.87917733,113802822.54054782,2011,18,161337,tt2381375
Captain America: The First Avenger,Action,Chris Evans,Hugo Weaving,Joe Johnston,7.959227999999991,7/22/11,6.5,5025,Marvel Studios,135715725.96280602,359229613.559164,2011,124,1771,tt0458339
Harry Potter and the Deathly Hallows: Part 2,Adventure,Daniel Radcliffe,Rupert Grint,David Yates,5.711315,7/7/11,7.7,3750,Warner Bros.,121174755.323934,1287183997.5648699,2011,130,12445,tt1201607
Pirates of the Caribbean: On Stranger Tides,Adventure,Johnny Depp,PenÃ©lope Cruz,Rob Marshall,4.9551300000000005,5/11/11,6.3,3180,Walt Disney Pictures,368371256.18475896,990417500.348983,2011,136,1865,tt1298650
Rise of the Planet of the Apes,Thriller,Andy Serkis,Karin Konoval,Rupert Wyatt,4.50453,8/3/11,6.9,2578,20th Century Fox,90154017.96100691,468083718.184356,2011,105,61791,tt1318514
Thor,Adventure,Chris Hemsworth,Natalie Portman,Kenneth Branagh,4.12352,4/21/11,6.5,4485,Marvel Studios,145409706.38872,430524218.471298,2011,115,10195,tt0800369
In Time,Action,Justin Timberlake,Amanda Seyfried,Andrew Niccol,3.5961879999999997,10/27/11,6.6,2068,Regency Enterprises,38775921.7036588,168607979.30916798,2011,109,49530,tt1637688
Drive Angry,Fantasy,Nicolas Cage,Amber Heard,Patrick Lussier,3.355611,2/24/11,5.3,378,Summit Entertainment,48469902.129573606,28046043.4988289,2011,105,47327,tt1502404
Source Code,Thriller,Jake Gyllenhaal,Michelle Monaghan,Duncan Jones,2.9944740000000003,3/30/11,7.0,1668,The Mark Gordon Company,31020737.362927098,142824028.081522,2011,93,45612,tt0945513
Mission: Impossible - Ghost Protocol,Action,Tom Cruise,Jeremy Renner,Brad Bird,2.9527400000000004,12/7/11,6.7,3036,Paramount Pictures,140562716.17576298,673453790.734105,2011,133,56292,tt1229238
"Crazy, Stupid, Love.",Comedy,Steve Carell,Julianne Moore,Glenn Ficarra|John Requa,2.924415,7/29/11,6.9,1577,Warner Bros.,48469902.129573606,138479670.753648,2011,118,50646,tt1570728
The Girl with the Dragon Tattoo,Thriller,Daniel Craig,Rooney Mara,David Fincher,2.776061,12/14/11,7.1,1679,Columbia Pictures,87245823.83323249,225498881.31465802,2011,158,65754,tt1568346
Limitless,Thriller,Bradley Cooper,Robert De Niro,Neil Burger,2.754426,3/8/11,7.0,2445,Rogue Pictures,26173747.1499697,156896544.871496,2011,105,51876,tt1219289
Kung Fu Panda 2,Animation,Jack Black,Angelina Jolie,Jennifer Yuh,2.726573,5/25/11,6.6,1207,DreamWorks Animation,145409706.38872,645320794.169652,2011,91,49444,tt1302011
Just Go With It,Romance,Jennifer Aniston,Adam Sandler,Dennis Dugan,2.690458,2/10/11,6.3,1010,Columbia Pictures,77551843.4073177,208341483.062677,2011,117,50546,tt1564367
Horrible Bosses,Comedy,Jennifer Aniston,Jason Bateman,Seth Gordon,2.686643,7/8/11,6.4,1417,New Line Cinema,33928931.490701504,113419570.983202,2011,98,51540,tt1499658
Real Steel,Action,Hugh Jackman,Dakota Goyo,Shawn Levy,2.6570139999999998,9/28/11,6.5,1856,DreamWorks SKG,106633784.685061,290110305.86447,2011,127,39254,tt0433035
Friends with Benefits,Comedy,Justin Timberlake,Mila Kunis,Will Gluck,2.633754,7/21/11,6.5,1366,Castle Rock Entertainment,33928931.490701504,145878667.232795,2011,109,50544,tt1632708
Bad Teacher,Comedy,Jason Segel,Cameron Diaz,Jake Kasdan,2.6042490000000003,5/16/11,5.4,953,Columbia Pictures,19387960.8518294,209581425.557985,2011,92,52449,tt1284575
Sherlock Holmes: A Game of Shadows,Adventure,Robert Downey Jr.,Jude Law,Guy Ritchie,2.579776,11/22/11,6.9,2710,Village Roadshow Pictures,121174755.323934,324375126.021745,2011,129,58574,tt1515091
Cars 2,Animation,Larry the Cable Guy,Owen Wilson,John Lasseter|Brad Lewis,2.454226,6/11/11,5.8,1277,Walt Disney Pictures,193879608.518294,542719816.822545,2011,106,49013,tt1216475
Green Lantern,Adventure,Ryan Reynolds,Blake Lively,Martin Campbell,2.4198049999999998,6/16/11,5.1,1654,De Line Pictures,193879608.518294,213123295.798241,2011,114,44912,tt1133985
The Hangover Part II,Comedy,Bradley Cooper,Ed Helms,Todd Phillips,2.4115330000000004,5/25/11,6.1,2601,Legendary Pictures,77551843.4073177,246669134.754083,2011,102,45243,tt1411697
No Strings Attached,Comedy,Natalie Portman,Ashton Kutcher,Ivan Reitman,2.2525049999999998,1/12/11,6.1,859,Paramount Pictures,24234951.064786803,143258069.269306,2011,108,41630,tt1411238
The Adventures of Tintin,Adventure,Jamie Bell,Andy Serkis,Steven Spielberg,2.2343,10/25/11,6.6,1448,Paramount Pictures,126021745.536891,360557976.788733,2011,107,17578,tt0983193
Bridesmaids,Romance,Kristen Wiig,Rose Byrne,Paul Feig,2.208685,4/28/11,6.5,1145,Universal Pictures,31505436.3842228,279558422.711832,2011,125,55721,tt1478338
Hall Pass,Comedy,Owen Wilson,Jason Sudeikis,Bobby Farrelly|Peter Farrelly,2.164361,2/25/11,5.4,423,New Line Cinema,34898329.533293,80615852.76007009,2011,105,48988,tt0480687
Super 8,Thriller,Joel Courtney,Elle Fanning,J.J. Abrams,2.0267169999999997,6/8/11,6.6,1527,Paramount Pictures,48469902.129573606,252136540.68369702,2011,112,37686,tt1650062
Sucker Punch,Action,Emily Browning,Abbie Cornish,Zack Snyder,1.9728259999999997,3/24/11,5.9,1007,Legendary Pictures,79490639.49250071,87044675.6781908,2011,110,23629,tt0978764
Red Riding Hood,Thriller,Amanda Seyfried,Gary Oldman,Catherine Hardwicke,1.934043,3/11/11,5.5,533,Appian Way,40714717.7888418,86433625.3160237,2011,100,49730,tt1486185
The Twilight Saga: Breaking Dawn - Part 1,Adventure,Kristen Stewart,Robert Pattinson,Bill Condon,1.888096,3/15/11,5.8,1658,Summit Entertainment,106633784.685061,690378003.1951361,2011,117,50619,tt1324999
Shame,Drama,Michael Fassbender,Carey Mulligan,Steve McQueen,1.885979,10/2/11,6.9,458,HanWay Films,6301087.27684457,17152213.9112496,2011,100,76025,tt1723811
Ice Age: A Mammoth Christmas,Animation,Billy Gardell,Ray Romano,Karen Disher,1.8441189999999998,11/24/11,6.1,107,20th Century Fox,36465392.87917733,113802822.54054782,2011,26,79218,tt2100546
Mr. Popper's Penguins,Comedy,Jim Carrey,Carla Gugino,Mark Waters,1.825552,6/17/11,5.7,465,Twentieth Century Fox Film Corporation,53316892.3425309,181628117.584104,2011,94,58224,tt1396218
The Tree of Life,Drama,Brad Pitt,Sean Penn,Terrence Malick,1.821261,5/18/11,6.5,582,Fox Searchlight,31020737.362927098,53001087.6646037,2011,139,8967,tt0478304
I Am Number Four,Action,Alex Pettyfer,Timothy Olyphant,D.J. Caruso,1.794214,2/18/11,6.0,1016,DreamWorks SKG,48469902.129573606,140071066.570502,2011,109,46529,tt1464540
Rio,Animation,Jesse Eisenberg,Anne Hathaway,Carlos Saldanha,1.710793,4/3/11,6.5,1530,Blue Sky Studios,87245823.83323249,469804957.11383,2011,96,46195,tt1436562
The Artist,Drama,Jean Dujardin,BÃ©rÃ©nice Bejo,Michel Hazanavicius,1.6444720000000002,5/15/11,7.2,651,France 3 CinÃ©ma,14540970.638872,129349549.423789,2011,100,74643,tt1655442
Zookeeper,Comedy,Kevin James,Rosario Dawson,Frank Coraci,1.64314,7/6/11,5.4,327,Columbia Pictures,77551843.4073177,164654932.103361,2011,102,38317,tt1222817
Cowboys & Aliens,Action,Daniel Craig,Olivia Wilde,Jon Favreau,1.6402560000000002,7/29/11,5.4,1363,Imagine Entertainment,158011880.94241002,169472419.65629,2011,119,49849,tt0409847
Pixie Hollow Games,Animation,Megan Hilty,Brenda Song,Bradley Raymond,1.620507,12/24/11,6.5,42,DisneyToon Studios,36465392.87917733,113802822.54054782,2011,23,86130,tt1450334
War Horse,Drama,Tom Hiddleston,Benedict Cumberbatch,Steven Spielberg,1.592819,12/25/11,6.9,611,DreamWorks SKG,63980270.8110371,172150434.096443,2011,146,57212,tt1568911
50/50,Comedy,Joseph Gordon-Levitt,Seth Rogen,Jonathan Levine,1.531633,9/30/11,6.8,773,Summit Entertainment,7755184.34073177,37988560.1336993,2011,100,40807,tt1306980
Rango,Animation,Johnny Depp,Isla Fisher,Gore Verbinski,1.499109,3/2/11,6.5,1385,Paramount Pictures,130868735.749848,238204949.164766,2011,107,44896,tt1192628
The Change-Up,Comedy,Olivia Wilde,Ryan Reynolds,David Dobkin,1.493933,8/5/11,5.9,440,Universal Pictures,50408698.2147565,73141505.9404712,2011,112,49520,tt1488555
Hugo,Adventure,Asa Butterfield,ChloÃ« Grace Moretz,Martin Scorsese,1.488615,11/22/11,6.8,1257,Paramount Pictures,164797667.24055,180085229.47590402,2011,126,44826,tt0970179
The Lincoln Lawyer,Crime,Matthew McConaughey,Marisa Tomei,Brad Furman,1.482692,3/17/11,6.9,582,Lakeshore Entertainment,38775921.7036588,82799096.133265,2011,119,50348,tt1189340
Ghost Rider: Spirit of Vengeance,Action,Nicolas Cage,CiarÃ¡n Hinds,Mark Neveldine|Brian Taylor,1.4810159999999999,12/10/11,4.7,752,Columbia Pictures,55255688.4277139,144651011.857676,2011,95,71676,tt1071875
One Day,Drama,Anne Hathaway,Jim Sturgess,Lone Scherfig,1.4703629999999999,3/2/11,6.9,591,Film 4,14540970.638872,57572000.1008174,2011,107,51828,tt1563738
Killer Elite,Action,Jason Statham,Clive Owen,Gary McKendry,1.46909,9/23/11,6.0,440,Current Entertainment,63980270.8110371,56009013.463,2011,116,49021,tt1448755
The Rite,Drama,Anthony Hopkins,Colin O'Donoghue,Mikael HÃ¥fstrÃ¶m,1.465299,1/28/11,5.7,320,New Line Cinema,35867727.5758844,93108387.42574409,2011,114,48171,tt1161864
Winnie the Pooh,Animation,Jim Cummings,Travis Oates,Stephen Anderson|Don Hall,1.425344,4/13/11,6.8,174,Walt Disney Pictures,29081941.277744103,14017495.695872597,2011,63,51162,tt1449283
Page Eight,Mystery,Ralph Fiennes,Rachel Weisz,David Hare,1.401424,8/28/11,6.5,42,Heyday Films,36465392.87917733,113802822.54054782,2011,99,73358,tt1797469
Chalet Girl,Comedy,Felicity Jones,Ed Westwick,Phil Traill,1.388994,2/2/11,6.2,108,UK Film Council,7755184.34073177,1695920.19139794,2011,96,58232,tt1487118
Wrong Turn 4: Bloody Beginnings,Horror,Jennifer Pudavick,Tenika Davis,Declan O'Brien,1.36998,10/17/11,5.1,115,Summit Entertainment,36465392.87917733,113802822.54054782,2011,93,71672,tt1865567
Midnight in Paris,Fantasy,Owen Wilson,Rachel McAdams,Woody Allen,1.3677270000000001,5/11/11,7.2,1117,Gravier Productions,29081941.277744103,146494675.096552,2011,94,59436,tt1605783
Priest,Action,Paul Bettany,Cam Gigandet,Scott Stewart,1.344998,5/5/11,5.3,439,Screen Gems,58163882.555488296,75912718.30843921,2011,87,38321,tt0822847
Arthur Christmas,Drama,James McAvoy,Hugh Laurie,Sarah Smith|Barry Cook,1.301204,2/22/11,6.6,225,Columbia Pictures,36465392.87917733,113802822.54054782,2011,97,51052,tt1430607
Young Adult,Comedy,Charlize Theron,Patton Oswalt,Jason Reitman,1.2851059999999999,12/16/11,5.2,219,Paramount Pictures,11632776.5110976,22237047.872752897,2011,94,57157,tt1625346
Warrior,Action,Tom Hardy,Jennifer Morrison,Gavin O'Connor,1.246852,9/9/11,7.6,768,Solaris Film,24234951.064786803,22351522.1488064,2011,140,59440,tt1291584
